beta,ACC,NMI,Purity,time_s
1,75.75,88.6038895380479,79,23.933696
2,74.75,89.1746678578605,78.75,24.971516
3,78.75,89.38383430034,80.5,23.2955241
4,75,88.2345673384428,78.25,16.9869231
5,70.75,86.74276231846,74,24.9703092
6,79,90.1064020946911,81.25,24.3191696
7,73,88.2272968052163,76.5,23.5395939
8,76.75,89.4848975401899,79.5,22.9872813
9,78.5,88.823110310831,80.25,22.9202218
10,83,91.6258710459581,85,23.5464901
11,79.5,90.1086771430704,81.25,23.0626275
12,75.5,89.2002804378645,78.5,23.1333639
13,75.5,90.0841111803861,78.75,23.3375993
14,78.25,89.4255266722138,80.25,22.7181047
15,77.5,89.1842111118764,80,23.3981208
16,77,89.8437983103951,81,23.0013834
17,78.25,90.354399056212,80.5,22.7065144
18,79.5,90.5569617807003,82.25,23.5661909
19,78,88.5167060494736,80.25,22.9030842
20,77.75,89.8089762496066,80.75,23.2337182
21,77.25,89.0569364081184,79,24.0461717
22,75.75,89.2115258099721,79.25,24.8814188
23,76.25,88.4998915843477,79,24.2842305
24,77.25,88.8560109556563,78.75,23.2811879
25,83.25,92.2282067727476,85.75,23.5139601
26,80.5,90.4719112566762,82.5,22.9835076
27,75.75,88.9681145436179,77.75,23.2425025
28,74,88.6581592686195,77.25,23.2451063
29,77,89.855715866587,79.5,23.1549516
30,80.25,91.2955756887614,83.75,23.5396862
31,74.75,89.0685727815412,77.5,23.23027
32,77,90.2725976902016,81.25,24.1356314
33,76.25,89.2770897804073,79.75,24.9067713
34,80.5,90.227647899719,82,22.9111425
35,76,88.7025343456302,79,23.3999614
36,79,89.5674217523502,80.75,23.3947684
37,79.5,90.5967555986489,81.5,22.9121045
38,78.5,90.0540015802038,81.5,23.212895
39,79.25,91.6204358392201,82.75,23.083967
40,73.75,89.3559278153082,79.25,23.304476
41,75.25,89.5094503719679,78,23.8217931
42,76.75,88.8636401967946,78.5,23.6263278
43,79,91.2908259995619,82.25,24.4794138
44,76.25,88.6632567513663,78.75,23.3419322
45,79.25,89.5890544550079,81.25,24.4101239
46,77.25,90.7770629589777,79.75,27.637905
47,75.25,89.739822911569,78.5,24.1696322
48,79.5,91.0156701690551,82.25,24.4881648
49,78.5,90.8676311403937,81.5,23.7196068
50,76.25,89.6715856303295,78.75,24.6932121
51,76.75,89.8434765962376,81.25,23.70314
52,77.25,90.7517721002708,80.25,24.1535469
53,80.75,91.5308490599829,83.75,25.1830938
54,74.5,89.9120563478999,79.5,24.9644802
55,77.25,91.6137175226791,81.25,25.8783976
56,77,90.2508963173731,79.75,25.4534251
57,77,89.5063232830308,80,27.5529292
58,79.5,91.27049454103,80.75,24.3909705
59,75.25,88.6599267407892,78.25,24.5707262
60,74,88.5853767636998,77,25.3536712
61,79.5,90.7778351255562,81.25,24.6641629
62,77.75,90.7331416924776,81.75,24.6755311
63,80,90.2675575333304,81.25,23.846441
64,78.75,89.9391322385247,79.75,23.4032822
65,78.25,90.4795007585596,81,24.9825116
66,79.75,90.324061511852,81.5,24.8362536
67,84.5,91.3341232949226,84.5,25.0580917
68,78.75,91.0703630810938,82.75,24.8545608
69,79.5,89.9886263168712,80.5,24.4741691
70,79.5,91.2211762170533,82.75,24.938791
71,79,90.790544517623,81.25,25.0154836
72,81.5,92.0127103887456,83.25,25.1642137
73,82.75,91.9090888093975,84.25,24.7090642
74,79.25,89.8549974513472,81.25,25.1613069
75,76.5,89.8757102653806,79.75,24.4694348
76,74.5,89.3499904289166,78.75,24.7410337
77,79.25,91.9276433001189,82.5,25.1075828
78,80.25,91.7720687658727,83.75,24.1900686
79,80,90.3888868541587,82.5,24.8165658
80,82.25,91.8092229584516,84,24.3566773
81,79,90.3481257626714,81.75,24.4189394
82,80.75,91.1680059204883,82.75,25.2447205
83,77.25,89.1720332954781,79.25,24.497122
84,84.5,91.8110140044916,84.75,25.1781643
85,80.75,91.718546824681,83.25,24.2313367
86,80.25,91.4920814019751,82.5,24.4332833
87,82.5,92.3641853153753,84.5,24.4386029
88,79.75,89.9917481966477,80.25,24.4976011
89,74,88.2976128711108,77.5,24.4289683
90,75.75,90.5574571447332,80,23.8003151
91,77.5,89.5587516433469,80.5,24.4359569
92,84.75,92.3646273745595,85.75,24.2032362
93,74.75,88.8316879088973,78.25,24.7277806
94,76.5,89.8505458547273,79.5,24.9664717
95,79.25,90.7699270259272,81.5,24.9504891
96,80,90.8870674539138,82,25.4005854
97,79.75,91.1753354523407,82.25,22.9194752
98,76.25,89.6319904198841,78.75,24.0154284
99,82.75,91.7075317781741,83.75,24.4485258
100,76.25,89.7847334854404,80.5,24.1858861
101,79.5,91.655313124235,82.25,24.5078625
102,80.75,90.8746853437362,82.75,23.4634857
103,81,90.9882396760722,83.25,23.9119733
104,75.75,89.5325706756544,79,24.49831
105,78,90.5838832105509,81.25,24.1149046
106,78.75,90.159796077699,80.5,24.1867579
107,80,90.7584889604154,82.25,24.0172557
108,80.25,91.7892500807882,82.5,24.0562229
109,78.5,91.3714615809873,82.25,23.9325197
110,81,92.2016230626434,82.25,23.6463717
111,78.25,90.4147879457783,81,24.3423931
112,79.5,91.6807844530216,82.5,23.2732191
113,76.25,89.8110897019299,79,23.5196372
114,77.5,90.8746150936302,80.75,24.0183757
115,86,92.7873762463163,87,23.4923761
116,78.5,91.2735556597109,81.25,24.5260613
117,78.25,90.3749217595618,80.75,23.4879413
118,79.5,90.5068711982581,80.75,23.7100003
119,80,91.0137237816049,82.25,24.1122709
120,74,89.2883906975827,77.5,24.1825999
121,80.25,90.5877546263748,82.25,25.1463985
122,81.5,92.2200128807114,84,24.2748991
123,76,89.9256842113238,79.25,24.9924017
124,78,91.4602781060158,81.25,24.5772827
125,82,92.6800829941938,84,24.61238
126,80.75,91.5012521714477,83.25,25.1771518
127,79.5,91.125497542203,82,24.8791251
128,78.5,90.4328367500955,81,25.0645938
129,79.5,90.9239837588874,82,24.4568595
130,81.25,90.4060644728693,81.75,24.6299892
131,76.25,89.8817116608425,79.75,24.8964462
132,80.75,91.174596610535,83.25,24.7138873
133,81.75,92.2276705106872,84,24.9054315
134,80.5,91.3604005158519,83.5,25.2046297
135,82.75,91.4395454149375,83,24.9820578
136,77.25,90.4883376749464,81,24.2387378
137,78.75,90.6117513505086,81.5,26.0184887
138,78,90.8843892395458,80,26.7738336
139,79.5,91.1879242778332,82.5,26.4778775
140,81,91.5575623269789,82.5,24.8404436
141,77,89.6028844022552,79.75,23.8987858
142,80.25,90.4197655893128,82,24.8740961
143,81.25,91.4178369545974,82.75,25.0979936
144,78.75,90.0756182894936,81.5,23.7240133
145,78.25,90.3057042204864,80.75,24.1470109
146,78,90.2336452634706,80.25,24.1708816
147,77.5,90.5080595792158,79.75,24.8739393
148,80,91.4309144105313,82.75,25.8266788
149,76.5,90.6736368530042,81,25.2903797
150,80,91.358869272317,82.75,24.612334
151,80.75,92.2304615113135,83,24.3749309
152,79.5,92.2266576039523,83.75,23.8855163
153,79.25,90.0813194794754,80.75,23.2720182
154,78.75,91.7085737741278,82.5,23.471149
155,78.5,90.7438368932022,81.5,24.0108237
156,77.75,89.9016451915308,80.5,23.535805
157,77.5,90.0695257516012,80.75,24.1465843
158,75.25,89.7498100512501,79.25,23.791457
159,77.25,90.5443197257773,80.75,23.8929279
160,81.25,91.0236299768686,82.5,23.8806002
161,79.75,90.7924917797847,82,23.5635964
162,75.75,90.198130537054,79.75,24.6222291
163,80.25,91.1987749635523,82.25,23.7283861
164,78.75,91.2083706962344,82.25,23.7295967
165,77,89.9315503507334,79.5,24.1265082
166,80,91.0686823500127,83,23.9232528
167,81.5,91.469538067294,82.5,24.123244
168,78,90.0552425510272,80.5,23.7543026
169,74.75,90.5516986192364,79.75,23.7031027
170,80.25,90.5744222150798,82.25,24.1096076
171,75.75,90.5829687646202,79.75,23.4254008
172,75.75,89.5462526276213,79.25,23.9090523
173,83.5,92.3561024651002,85,23.6466988
174,78,91.0376817064202,82.5,23.6022046
175,75,89.3193399353484,78,23.9294667
176,76.25,90.284600427676,79.75,23.8288046
177,78,90.8890871282635,80.75,24.2820178
178,81,91.714369430783,83.25,24.1745105
179,80,90.7452715563872,81.5,23.6946803
180,78,89.7878955066491,79,24.4290189
181,74.5,88.2549120949366,76.5,24.1453314
182,76.5,89.8907282108569,79.25,24.2254793
183,73.25,89.7553242306954,78,23.8934552
184,72.75,88.5896633031274,76.5,24.1879005
185,78.5,90.7517131900909,81.5,24.3835156
186,80.75,90.5750567861642,82.25,24.0023063
187,79,90.0538429185119,80.75,24.7301859
188,77.25,90.1307619229382,80.25,24.9547326
189,80.5,91.4043420674765,83,25.0000153
190,79,90.451556582061,80.75,24.9208632
191,78.5,90.3952263762022,81,24.6551216
192,79,90.4549764496804,81.25,25.3369046
193,80.25,90.7109558918136,82.5,24.7765844
194,80.5,91.9445421068419,83.5,25.4043011
195,77.25,90.8881637166568,80.25,24.646097
196,82.5,91.668295948587,84.75,24.3441899
197,79.5,91.4391706995495,81.75,25.0111076
198,75.5,89.6596863337984,79,24.3282248
199,80.5,91.0917071433792,82.75,24.7275578
200,75.75,89.4604347560506,78.75,24.0854827
201,76.75,90.2226590911451,80,23.8916134
202,77,89.3145821223177,79.5,24.4065638
203,76.5,90.0808663793807,79.25,23.827626
204,75.5,88.7959705342641,78.25,24.3127312
205,79.5,90.5342740372176,82,23.9767237
206,77,90.4308485828706,80.5,24.1112931
207,80.5,90.634038923695,82.75,24.5276189
208,80,91.1537425763705,82.5,24.0894172
209,77.75,90.1001372848918,80.25,24.3424204
210,77,90.1711830589716,80.25,23.7503752
211,78.75,90.8636610386371,82.5,24.2608161
212,80.25,91.6614499063464,83,24.1458212
213,74.5,90.1234872952512,79.25,24.4513471
214,77,89.5710755660954,79,25.1435498
215,79.5,91.4405465220159,82.75,24.3620099
216,79.25,90.0314377747783,80.75,25.0487271
217,77.75,90.3014575853297,81,24.3779917
218,75.75,89.8459671541817,79.25,23.9049172
219,81.25,92.2163932312206,83.5,24.3705392
220,78.75,90.679899880239,82.25,24.2595599
221,83,92.5496685987879,84.75,24.3685776
222,80.75,91.7952741250083,83,23.1100925
223,79.75,91.7815253569021,82.75,23.1580072
224,78.5,90.5822260660357,81.25,23.6424091
225,81.25,91.546833624636,83,22.6573933
226,78.25,91.1876001407752,81,23.9557945
227,80,90.8807214265012,82,23.7871887
228,77,89.9733428555982,80,24.7240419
229,80.25,91.5074099463746,82,25.4277949
230,82.75,92.0782784032342,84.25,25.339706
231,79.75,91.9592715322971,82.25,26.4822859
232,77.25,90.2516658133302,80.75,25.3872378
233,78,91.7198667464715,81.25,24.5717583
234,79,91.6283597960261,83.5,25.1770267
235,80.25,91.4843752608724,83.5,24.7295666
236,80.75,92.1940295496027,84.5,25.0104418
237,81.5,91.8413569550829,83.5,24.3432114
238,79,91.551988989541,81.75,25.3032316
239,80.75,91.4164388367048,82.5,25.0713839
240,76.25,90.463634130414,80.5,24.9395035
241,82,92.3852846412911,84.25,25.4143697
242,79,90.5431441987155,81,24.5345937
243,78.25,90.6915120049892,81.5,24.9668724
244,79.75,90.2315313339889,81.5,24.8229529
245,79.25,91.5913984092398,81.75,25.0815131
246,84,92.4015028854753,85,25.1921592
247,83.5,92.4800561868302,84.75,24.7592163
248,83.5,92.5431591900991,84.5,25.466581
249,79,91.0882067865181,82,25.5322394
250,79.5,91.070996936303,81.25,27.6589831
251,79.75,90.8750747951284,81.75,25.2431832
252,79.75,91.1387895044196,81.5,25.6730511
253,81.25,91.5836608241603,83.5,26.5165587
254,75,90.0641041161644,79.25,25.9065451
255,81.25,91.9669127153942,83.75,25.5313213
256,79.75,91.398422370538,82.75,24.9135312
257,79.75,90.3873717341535,81.5,25.53102
258,76.5,90.6479258008674,80.25,25.1265424
259,80.5,91.123000913804,82.25,24.6829937
260,77.75,91.41286814839,81.25,25.0246573
261,77.25,90.4562998236842,81.25,25.0454308
262,80.5,90.5986966833019,81.25,25.0125358
263,77.5,90.3472384487092,79.5,24.6869486
264,76.25,90.495004912645,80.25,25.0098055
265,77.75,89.7493655186789,80.75,24.6991492
266,78.75,91.2177607085317,81,24.3585537
267,77.5,91.3359661712426,81,24.699368
268,83.25,92.4530728539775,85,24.5639527
269,78.25,90.9376181548053,81.5,24.9453762
270,80,91.514800117779,83,24.595297
271,82.75,92.1240841466908,83.5,24.3376604
272,76.75,90.9217271456385,79.75,25.3789973
273,78.75,90.7761290084199,81.75,24.8092885
274,82.25,91.9020919968257,83.5,24.9102071
275,81.5,92.0895244738079,84,24.0327177
276,79.25,91.2909171894787,81.75,24.9390992
277,83.75,92.0577082208915,84.5,24.7319181
278,81,91.9871897723031,83.5,24.1431497
279,79.25,90.9880277366283,80.75,24.8195518
280,78.5,91.1349042225289,81.5,24.8715158
281,81.25,91.3213626432989,82.75,24.318768
282,81.25,91.2319134672708,83.25,24.3617392
283,84.5,92.7496461411456,84.75,24.1760464
284,81.25,91.947550828023,83.25,24.9065655
285,79.5,90.4821798445606,81,24.0875618
286,79.75,90.4517449608224,80,24.163107
287,77.75,90.7867984477962,80.75,24.0870238
288,76.75,90.4153904863086,81,24.3414606
289,78.5,90.3585497698637,80.75,24.3402109
290,83.25,91.9517896863763,84.75,23.9909101
291,83.75,91.6450413525597,85,24.2381648
292,79.5,91.1845429736836,83.25,23.7696561
293,77.75,90.7994069452088,80,24.055773
294,82.5,91.7704754606532,83.5,24.2334271
295,79,91.0423831345808,81,25.498949
296,82.25,92.3166503422931,83.75,24.8493462
297,79.75,91.4834325353187,81.75,23.7572756
298,77.25,89.8371121801683,80.25,24.326877
299,77.25,90.3829958416843,79.75,23.9282762
300,82.75,91.5442650227944,84.25,23.7945346
301,84.75,92.1408296199681,84.75,24.4508717
302,80.25,90.7390831293899,82,23.8605115
303,75.5,90.2214609779641,79.5,24.2088189
304,77.75,90.4804745623515,80.25,24.125976
305,83.25,91.7588422361309,84.25,23.7771866
306,79.75,90.9615658189066,82,24.5905119
307,81,91.0624301877981,83,23.8659646
308,80,90.7367081578364,80.75,24.2611181
309,76.75,90.1500342356992,79.75,24.0264917
310,79.75,90.8491494930483,81.75,23.669327
311,80.25,91.5146077220719,82.5,24.129056
312,81,91.5732855631709,83.25,23.9714469
313,80,91.7216828524181,82.75,24.3932207
314,79.5,90.9298145711899,81.75,23.8867834
315,75,89.4198481155956,78.5,23.906179
316,78.75,91.5147426025793,81.75,24.3028757
317,82.25,92.1513099157375,84,24.624362
318,79,91.9083181735404,82.75,24.3334015
319,75.75,89.0477135590524,78.75,24.0395389
320,83,92.1111710853721,84,24.2473845
321,79,91.3540488951105,82.5,24.4018442
322,79.25,91.0337197513682,81,24.8185844
323,78,90.421489367705,81,24.8907104
324,83.25,91.7978077082792,84,24.6136838
325,78,90.2832321659317,81.25,24.6214809
326,76.5,90.0314162424453,80.5,24.5633228
327,80.75,91.9181105904111,83.5,23.8768561
328,77.25,90.2944619421692,80.25,24.5449396
329,77.25,90.6366215653393,80.5,23.9070257
330,79.5,90.8530767750519,83,24.1617102
331,81.25,91.9353001390393,83,24.3558106
332,78.5,90.8485566563614,81.25,23.8392387
333,79.75,91.5566706997033,82,24.5701984
334,78.5,90.7749442338308,81,23.8037812
335,78.5,90.2860056658367,80.5,24.1280453
336,83.5,92.9143806809918,85.5,24.2344147
337,81.75,91.6001627434862,83.75,24.4122245
338,78,90.4133855038061,81.5,25.2107891
339,79,90.1089487589765,80.25,24.889508
340,80.75,91.3242957215001,83.5,25.1719678
341,81,92.1931094853045,83.5,24.6156922
342,77.25,90.3084453269996,80,23.8363876
343,75.25,89.709719171959,79.5,24.2815931
344,75,89.8100318319517,78.75,23.5645542
345,79.75,92.3154790588703,84.25,23.7285295
346,77,90.714017107529,80.25,23.8296545
347,82,91.178062019056,83,23.5614221
348,77.5,90.702197201018,81.25,23.9700718
349,81.5,91.9582849929312,82.75,23.8955741
350,80.25,90.7461516441269,82,23.635709
351,78.25,89.7379553106084,80,24.544513
352,74.5,89.5047315075205,77.25,24.1246729
353,80.75,91.9653227368896,84.75,23.5205301
354,77.5,90.1807058986122,81,23.726027
355,81.75,91.7575240941553,84.25,23.4316771
356,76.5,89.0164637039924,78.5,23.5893987
357,76.5,90.3165154785491,80.25,23.6758609
358,79.75,91.2591535646862,82.5,23.8400813
359,75.75,90.3198671846412,79.5,23.6025657
360,81.5,91.2726270987974,83.5,24.0974427
361,77,90.3714005487845,80,24.0906712
362,78.75,90.7553037598829,81,23.557481
363,76,90.2562788606382,79.75,24.3177582
364,78.5,90.8513184027149,81.25,23.5506609
365,76.25,89.700549541347,79.25,23.607382
366,75.75,88.8951719167823,79.25,23.6847663
367,83.25,91.8689483572038,84.25,23.7067838
368,76.75,89.092834717518,79.25,23.7939632
369,76,89.705457425162,79,23.4399849
370,76,89.7157256219421,78.75,23.4606851
371,79.25,90.7956456470318,81.25,23.9819901
372,74.75,89.5027916366941,78.25,23.5764955
373,77.25,90.3003591176617,80.5,23.7984884
374,78,89.7587453068398,79.75,23.8094751
375,77.75,90.3000394845591,80,23.6323318
376,74.75,88.8061515216231,78.5,23.8572308
377,77,90.2935511853948,80.75,23.6773625
378,81,91.529568749636,83,23.5519182
379,76.25,89.9146652887049,80.25,23.9377272
380,76.5,89.8216845838172,80,23.5346794
381,78,89.3886364061315,80.5,23.6346015
382,82.5,91.272988951398,83.75,23.9229147
383,78.5,91.1444587258141,80.75,23.5132212
384,76.25,90.4342379830227,79.5,23.7212128
385,77.75,89.4321463624551,79.5,23.6602532
386,77,89.6337034191148,80,25.0755804
387,73,88.1121299302391,76.75,23.7216638
388,76,90.3349177377009,80,23.6850248
389,75.75,90.6454927542998,80,23.4234158
390,77.5,90.1352827136681,80,23.9734479
391,76.5,90.1819971794724,79.75,23.7034212
392,81,90.7332840197654,82.5,23.4753899
393,82,91.3876500132779,83.25,23.7100891
394,79.25,90.2807001885419,81.5,23.5484672
395,73.25,88.5827383693913,77,23.5209408
396,76,89.8886631186447,80.25,23.7373352
397,77.25,88.7926532054929,80,23.4805603
398,79,90.3941178949994,82.25,23.4949064
399,76.25,88.8388691812019,78.25,23.7154687
400,75.25,89.4090459689891,78.5,23.4142804
401,77.25,89.8593535355299,79.25,25.53049
402,80,90.6786252579327,82.25,24.5608386
403,77.5,89.7306139576836,79.5,24.3427526
404,78.5,90.3343561819089,80.75,24.6169033
405,78.5,90.1968438083542,80.75,23.3926981
406,77.75,90.2471002324211,81.25,23.6746691
407,77.75,89.6005504211849,80.75,23.5873576
408,78.25,90.6597588116613,81.25,23.5942374
409,78.25,90.0227557496361,80.5,24.2850374
410,76.75,89.1876888644653,80,24.3511932
411,75.75,89.3900007633315,79,23.4167294
412,76.25,89.0860368322179,78.75,23.8041989
413,75,89.4554402875798,79,23.3745001
414,76.5,89.5054470169457,79.25,23.4992006
415,78.75,90.7687172816769,81.75,23.6605049
416,76,88.8175416457226,78.5,23.5573149
417,79.75,90.1612531025262,80.75,23.5335834
418,73.5,88.6796959343194,77.75,23.5803014
419,74,88.9978791640886,78.25,23.5100547
420,78.25,90.1926325994838,81,23.6316912
421,76.5,90.1023081506368,79.5,23.9161725
422,77.5,89.2667779768872,79.25,23.4873892
423,77.25,89.1469795710067,79.75,23.6246927
424,72.25,87.4110391429603,75.75,23.5142877
425,74.25,88.4998871196356,77.75,23.6930095
426,75.75,89.9688159346184,79.5,23.8740519
427,78,90.3354320305747,80.75,23.4680245
428,75.5,90.2658274012556,79.75,23.687377
429,76.5,89.7849980736504,79,23.7260949
430,78.25,90.5711829512512,81.5,23.5588746
431,72,87.7364270236396,76,23.6965338
432,76.5,89.1492038078104,79.75,23.8120575
433,74.75,89.6262773830252,78,23.7174363
434,79.5,89.7300973023179,80.5,23.7589861
435,77.75,90.2279735692156,81,23.7979381
436,74.75,88.5647640857315,77.75,23.4553523
437,75.25,87.7825980882132,77.5,23.7515771
438,77,89.6426303750646,80,23.5079169
439,75.75,88.5855265498989,77.75,23.4339229
440,76.5,89.2701234404551,79.25,23.9008709
441,76,89.5548502773915,79,23.5477524
442,72.75,87.4858478694487,76,24.8830502
443,74.25,88.0819242127466,77.5,30.1081463
444,76.5,88.4476838643107,78,31.5219309
445,76.5,89.842280359361,79.5,31.7358157
446,78.75,88.8467425953683,79.5,31.420529
447,76,89.5239250812637,80,31.7600451
448,78,89.4830152588374,80,31.4661841
449,75.75,88.9987243239031,78.75,31.8408065
450,76.5,89.3711191095627,78.5,31.4742999
451,78,90.2271035159105,81,31.8603336
452,72,88.3844344920059,76.25,31.2670753
453,75.25,88.9585858901369,78.5,32.1779829
454,72.5,88.0069205071001,77.5,31.3648701
455,77.5,89.7020924019611,79.5,31.8855623
456,79.25,90.9248817624735,81.25,31.4382469
457,79.75,90.239384024653,81.75,31.784845
458,75.5,90.1677197139335,79.5,32.0439309
459,76.25,89.4759868469842,79.75,31.7238597
460,74,88.9957522482255,77.5,31.8264446
461,74.75,89.7822903206325,78.75,31.2985936
462,76.75,89.1718975345258,79.5,31.1900403
463,73.75,88.7400141015946,78.25,31.0476379
464,75.25,89.3965997326949,79.75,31.3381069
465,77,88.8548025057352,79,31.2278283
466,78.75,89.0032100181363,79.75,31.3123659
467,75.5,89.0863734805036,78.5,30.9501256
468,76.5,89.1359467125417,79,31.3235181
469,77.5,90.688174973472,81.75,31.0637499
470,73.75,88.6076631842223,77,31.3291039
471,75.5,88.6780795025336,78.25,31.6465355
472,76,89.7078434034055,80.25,27.168119
473,74.5,89.351714767957,79,25.5712731
474,81,90.874169832476,82.75,25.550795
475,78.25,89.7899612255746,80.25,25.8290321
476,79.25,91.330569924411,82.75,25.0786466
477,78.5,90.2298613262009,80.5,24.7972589
478,70.75,87.6676199213684,75.75,27.0681559
479,77.75,90.4830574350722,81.25,30.0374652
480,76.5,89.5997186289579,79.5,27.2601114
481,73,87.7280114156695,76.25,24.2168745
482,75.25,89.2092680310103,79.75,24.2545893
483,75.75,89.5475878927639,79.25,25.6972251
484,78,89.7869835972626,81,27.2252834
485,79.25,89.9930218479164,82.25,27.4377821
486,76,88.768639260012,78.5,25.2278421
487,76,89.2186747517201,79,24.8930459
488,75.5,89.5046372913643,78.75,26.0397478
489,79.25,90.1164214660758,81.75,24.3757989
490,76,88.2037430165996,77.75,25.7719206
491,75,88.6636102841809,78.25,26.0017677
492,76.25,88.9427295353567,79.25,25.9330392
493,78.75,90.4010613269736,80,24.8837203
494,75.75,89.6461963929123,80.25,24.9438692
495,77.5,90.6742556377028,81.75,25.0195854
496,76,88.932856737787,78,25.6567224
497,76,89.4563890683497,78.75,26.9650287
498,75.25,89.5912321621702,79.75,26.8178529
499,78.75,89.7791550758675,80.75,24.4740583
500,76.5,89.6640254125374,79.75,26.1756777
501,78,89.6875671880583,79.75,25.7952395
